feature,gain,weight,cover,gain_normalized
MagpieData minimum SpaceGroupNumber,0.8266617655754089,53.0,128.6981201171875,0.004930171545380069
MagpieData mean AtomicWeight,0.8075515031814575,209.0,323.368408203125,0.004816198847230875
vpa,0.7994660139083862,1497.0,528.6666870117188,0.004767977372856982
MagpieData range NdValence,0.7963635921478271,23.0,210.6521759033203,0.004749474676684709
MagpieData minimum NpUnfilled,0.7925660014152527,6.0,120.33333587646484,0.004726826025748609
MagpieData mode NpUnfilled,0.791204035282135,27.0,1389.25927734375,0.004718703324355018
MagpieData avg_dev Row,0.7693088054656982,377.0,193.12997436523438,0.0045881212126428405
MagpieData range NdUnfilled,0.7500560283660889,36.0,2858.861083984375,0.004473298563551323
MagpieData mean SpaceGroupNumber,0.7498018145561218,580.0,484.6620788574219,0.004471782444450944
MagpieData minimum NdValence,0.7441099882125854,20.0,762.0,0.004437836662211197
MagpieData range GSmagmom,0.7438573837280273,8.0,1805.5,0.004436330141051195
MagpieData mode Electronegativity,0.7425031661987305,101.0,846.5247802734375,0.004428253651963125
MagpieData maximum GSmagmom,0.7400211095809937,72.0,1680.763916015625,0.0044134507840667605
MagpieData avg_dev Electronegativity,0.7187538146972656,690.0,729.9681396484375,0.0042866136464981925
MagpieData range MendeleevNumber,0.7064762115478516,356.0,281.1769714355469,0.004213390603878608
MagpieData minimum GSbandgap,0.7060248255729675,15.0,1960.066650390625,0.004210698559342342
MagpieData maximum NsValence,0.6826013922691345,2.0,214.5,0.0040710023145434995
MagpieData mode GSbandgap,0.6649974584579468,55.0,393.79998779296875,0.00396601328858769
MagpieData maximum NsUnfilled,0.6632798314094543,6.0,52.5,0.0039557694423706605
MagpieData range NsValence,0.6554952263832092,4.0,151.75,0.0039093424273680955
MagpieData avg_dev MendeleevNumber,0.6371460556983948,553.0,206.43760681152344,0.0037999088440589354
MagpieData mode AtomicWeight,0.607904314994812,16.0,76.8125,0.0036255124900025255
MagpieData maximum GSbandgap,0.6059406995773315,95.0,249.94737243652344,0.0036138015808248243
MagpieData avg_dev Number,0.6054530143737793,752.0,159.7553253173828,0.003610893049411154
MagpieData range Number,0.6041703224182129,665.0,164.69773864746094,0.003603243135450975
MagpieData maximum SpaceGroupNumber,0.599827229976654,70.0,206.62857055664062,0.0035773411382061596
MagpieData maximum Number,0.5712956190109253,1328.0,87.47665405273438,0.0034071799642111608
MagpieData maximum NpValence,0.5567615032196045,1.0,187.0,0.00332049918726516
MagpieData avg_dev NsValence,0.539638102054596,116.0,351.4051818847656,0.003218376035210232
MagpieData avg_dev NfUnfilled,0.5214638113975525,12.0,5060.66650390625,0.003109985428088765
MagpieData mean Number,0.4988807141780853,941.0,124.36981964111328,0.002975300907823732
MagpieData mode NdValence,0.4838062822818756,1.0,54.0,0.0028853977112657885
MagpieData range Row,0.46946465969085693,29.0,118.06896209716797,0.002799864954632725
MagpieData minimum NsValence,0.3717788755893707,27.0,1261.4073486328125,0.0022172715733723026
MagpieData mode Number,0.35438796877861023,136.0,143.71324157714844,0.0021135530303390618
MagpieData mode NsValence,0.3423749804496765,16.0,321.125,0.0020419081379530364
MagpieData mode NsUnfilled,0.33285799622535706,6.0,111.5,0.0019851492956133145
MagpieData minimum Number,0.27185699343681335,1284.0,33.87850570678711,0.0016213422094365508
MagpieData mean NfUnfilled,0.25323110818862915,8.0,57.0,0.0015102583136013617
MagpieData maximum NfValence,0.1541963517665863,4.0,45.5,0.0009196197254289148
MagpieData minimum NpValence,0.15044307708740234,1.0,201.0,0.0008972353733324705
MagpieData mode Row,0.06697320938110352,1.0,23.0,0.0003994250429178436
MagpieData mode NfValence,0.0,0.0,0.0,0.0
MagpieData minimum Row,0.0,0.0,0.0,0.0
MagpieData maximum Row,0.0,0.0,0.0,0.0
MagpieData mode NpValence,0.0,0.0,0.0,0.0
MagpieData minimum NfValence,0.0,0.0,0.0,0.0
MagpieData range NfValence,0.0,0.0,0.0,0.0
MagpieData mode NfUnfilled,0.0,0.0,0.0,0.0
MagpieData minimum NsUnfilled,0.0,0.0,0.0,0.0
MagpieData range NsUnfilled,0.0,0.0,0.0,0.0
MagpieData minimum NdUnfilled,0.0,0.0,0.0,0.0
MagpieData mode NdUnfilled,0.0,0.0,0.0,0.0
MagpieData minimum GSmagmom,0.0,0.0,0.0,0.0
MagpieData minimum NfUnfilled,0.0,0.0,0.0,0.0
MagpieData range NfUnfilled,0.0,0.0,0.0,0.0
MagpieData mode GSmagmom,0.0,0.0,0.0,0.0
