feature,gain,weight,cover,gain_normalized
MagpieData minimum NsValence,0.14353390038013458,80.0,8424.75,0.0020907945288839943
MagpieData mean Number,0.13580834865570068,2563.0,1444.1014404296875,0.001978259850767686
MagpieData mode NsUnfilled,0.1307416707277298,10.0,966.5999755859375,0.0019044558054281296
MagpieData range Number,0.12285873293876648,1354.0,3516.5361328125,0.0017896285544647852
MagpieData minimum NdUnfilled,0.11700102686882019,17.0,15042.587890625,0.0017043019537772912
MagpieData minimum NfValence,0.1140613853931427,4.0,260.75,0.0016614815030130507
MagpieData range NsValence,0.11003457754850388,21.0,8638.857421875,0.0016028247829758988
MagpieData maximum Number,0.10195515304803848,3063.0,1679.204345703125,0.0014851353974205245
MagpieData minimum Row,0.10151472687721252,2.0,459.5,0.0014787199051507437
MagpieData minimum GSmagmom,0.09821126610040665,31.0,21855.7734375,0.0014305998603373826
MagpieData minimum NsUnfilled,0.07692975550889969,5.0,2999.199951171875,0.0011206015547575267
MagpieData minimum NfUnfilled,0.0026351064443588257,1.0,23.0,3.838442432276376e-05
MagpieData maximum Row,0.0,0.0,0.0,0.0
