feature,gain,weight,cover,gain_normalized
MagpieData mean GSvolume_pa,1.0407726764678955,587.0,419.32879638671875,0.004644194120843332
MagpieData mode NsUnfilled,1.0320502519607544,8.0,108.875,0.004605272429746444
MagpieData mode GSvolume_pa,1.0142813920974731,97.0,925.6494750976562,0.004525983228197459
MagpieData avg_dev AtomicWeight,0.9993657469749451,291.0,909.2405395507812,0.004459425801246438
MagpieData mean CovalentRadius,0.9685807228088379,645.0,424.20001220703125,0.004322055142432198
MagpieData maximum MeltingT,0.9561370611190796,597.0,327.5309753417969,0.004266528338387471
MagpieData avg_dev NValence,0.954845666885376,559.0,567.2701416015625,0.004260765806718969
MagpieData avg_dev GSvolume_pa,0.9378748536109924,692.0,579.7037353515625,0.004185037693350062
MagpieData mode Number,0.8877487182617188,178.0,223.1629180908203,0.003961362045100206
MagpieData maximum NpUnfilled,0.8869616985321045,101.0,244.0395965576172,0.003957850161589133
MagpieData range NValence,0.8344273567199707,189.0,338.3439025878906,0.0037234284795996647
MagpieData mean SpaceGroupNumber,0.825405478477478,708.0,877.9618530273438,0.003683170549275298
MagpieData mean MendeleevNumber,0.8008683323860168,1215.0,343.64691162109375,0.003573679521890748
MagpieData avg_dev MendeleevNumber,0.7845972180366516,779.0,211.5661163330078,0.003501073644248626
MagpieData mean AtomicWeight,0.7666014432907104,236.0,301.7076416015625,0.003420771890402863
MagpieData minimum CovalentRadius,0.7625016570091248,21.0,32.47618865966797,0.003402477594466625
MagpieData maximum NfUnfilled,0.7386507987976074,7.0,199.2857208251953,0.0032960489592925024
MagpieData range GSmagmom,0.7287256121635437,15.0,1431.933349609375,0.0032517602356774435
MagpieData range MendeleevNumber,0.7238171100616455,518.0,358.9903564453125,0.003229857242719225
MagpieData mode NpUnfilled,0.713820219039917,52.0,378.7115478515625,0.003185248555770039
MagpieData mode Column,0.710354745388031,27.0,89.9259262084961,0.003169784725171943
MagpieData mode NValence,0.6952590942382812,24.0,470.3333435058594,0.0031024240652458056
MagpieData avg_dev Number,0.6797758936882019,987.0,327.7284851074219,0.003033334060682513
MagpieData mean Row,0.672920286655426,288.0,781.517333984375,0.0030027425870626616
MagpieData maximum NdValence,0.6548529863357544,76.0,172.0263214111328,0.0029221216677963228
MagpieData maximum MendeleevNumber,0.654676616191864,272.0,198.11764526367188,0.0029213346590634187
MagpieData avg_dev GSmagmom,0.6424486637115479,73.0,2225.5615234375,0.0028667704047329124
MagpieData minimum NsValence,0.6168293356895447,45.0,410.22222900390625,0.0027524504045350457
MagpieData range Number,0.6131353378295898,857.0,200.8739776611328,0.0027359668404182092
MagpieData minimum GSbandgap,0.5696576237678528,34.0,1260.441162109375,0.00254195814995327
MagpieData maximum Row,0.4387645125389099,1.0,180.0,0.001957879578932963
MagpieData mean Number,0.3876939117908478,1246.0,104.24879455566406,0.0017299894842899913
MagpieData range NsValence,0.3642253875732422,6.0,15.666666984558105,0.00162526692127444
MagpieData maximum Column,0.3550318479537964,16.0,769.0,0.001584242993940691
MagpieData minimum Number,0.29240307211875916,1533.0,42.615787506103516,0.0013047773631597248
MagpieData minimum AtomicWeight,0.28821060061454773,24.0,119.79166412353516,0.0012860694820326568
MagpieData maximum NsUnfilled,0.26462462544441223,3.0,37.33333206176758,0.001180822822799401
MagpieData avg_dev NfUnfilled,0.17519693076610565,12.0,5363.08349609375,0.0007817735556001047
MagpieData mode NfUnfilled,0.0,0.0,0.0,0.0
MagpieData mode NfValence,0.0,0.0,0.0,0.0
MagpieData minimum Row,0.0,0.0,0.0,0.0
MagpieData mode Row,0.0,0.0,0.0,0.0
MagpieData maximum NsValence,0.0,0.0,0.0,0.0
MagpieData maximum NpValence,0.0,0.0,0.0,0.0
MagpieData minimum NfValence,0.0,0.0,0.0,0.0
MagpieData range NfValence,0.0,0.0,0.0,0.0
MagpieData mode GSmagmom,0.0,0.0,0.0,0.0
MagpieData minimum NsUnfilled,0.0,0.0,0.0,0.0
MagpieData range NsUnfilled,0.0,0.0,0.0,0.0
MagpieData minimum NdUnfilled,0.0,0.0,0.0,0.0
MagpieData minimum GSmagmom,0.0,0.0,0.0,0.0
MagpieData mode NdUnfilled,0.0,0.0,0.0,0.0
MagpieData minimum NfUnfilled,0.0,0.0,0.0,0.0
MagpieData range NfUnfilled,0.0,0.0,0.0,0.0
MagpieData maximum NfValence,0.0,0.0,0.0,0.0
